student_id,attendance,study_hours,previous_score,assignments,sleep_hours,screen_time,engagement,risk_level
77,70.3,4.3,60.5,46.1,7.8,6.3,6.5,High
78,72.1,7.0,35.2,74.8,7.2,3.2,9.3,Low
79,89.6,4.3,66.8,65.8,6.4,1.8,9.3,Low
80,90.3,6.4,52.7,100.0,9.4,4.5,4.7,Low
81,67.6,5.6,55.2,71.5,8.3,1.5,10.0,Low
82,96.8,2.3,48.2,67.5,5.8,3.7,1.3,High
83,75.3,8.4,52.4,67.6,5.2,5.3,6.0,Medium
84,100.0,5.2,62.8,80.8,6.4,1.8,7.1,Low
85,75.9,5.1,73.3,63.8,7.5,7.3,4.3,Medium
86,98.8,4.3,57.3,100.0,7.2,6.7,8.1,Medium
87,57.8,5.0,60.6,50.5,4.9,4.4,7.7,Medium
88,82.7,4.2,56.8,56.2,6.3,2.3,6.1,Medium
89,77.7,3.0,64.8,59.8,7.0,5.1,6.9,Medium
90,83.7,1.5,62.7,76.4,7.8,1.3,6.8,Medium
91,92.5,4.4,66.7,79.2,7.3,5.4,6.6,Medium
92,79.8,3.2,65.6,92.0,6.8,3.9,5.5,Medium
93,87.4,3.1,80.7,57.0,5.7,4.6,6.8,Medium
94,81.6,6.9,62.2,79.1,5.9,6.5,7.8,Medium
95,84.4,5.2,57.0,66.8,7.6,4.2,6.7,Medium
96,61.7,5.2,58.3,54.7,6.8,1.0,7.9,Medium
97,88.2,4.7,54.1,56.9,6.8,1.0,6.9,Medium
98,86.0,4.2,61.1,74.9,7.4,6.2,6.5,Medium
99,69.7,3.9,70.5,96.9,6.6,2.3,4.8,Medium
100,52.8,5.5,48.9,52.3,4.6,2.2,7.6,Medium
101,62.3,1.3,70.5,66.5,7.5,5.5,6.5,High
102,62.4,4.6,75.0,62.7,5.3,6.2,5.7,High
103,73.1,4.8,82.4,76.2,6.6,5.4,10.0,Low
104,94.7,6.1,52.3,100.0,5.6,3.5,5.1,Medium
105,97.5,5.6,48.0,76.3,7.7,3.6,4.1,Medium
106,69.3,3.9,68.3,63.7,7.9,2.5,3.0,Medium
107,69.1,7.5,60.0,100.0,7.6,2.1,4.8,Low
108,80.9,2.4,98.0,56.1,7.8,6.8,6.3,Medium
109,66.0,4.3,73.1,86.0,7.1,1.7,6.6,Medium
110,69.9,0.5,58.2,49.1,7.7,7.7,10.0,High
111,71.1,3.9,77.6,89.0,6.5,3.9,10.0,Low
112,76.7,3.8,69.7,81.3,5.8,3.8,4.2,Medium
113,74.7,8.6,78.4,70.5,5.9,3.6,8.6,Low
114,71.3,7.7,48.8,67.4,9.1,1.0,8.9,Low
115,55.8,4.6,65.6,85.2,4.0,1.0,5.4,Medium
116,78.4,3.0,64.9,53.0,6.5,2.7,7.0,Medium
117,85.0,7.7,58.8,66.9,7.1,3.7,6.4,Low
118,59.3,5.5,55.2,56.7,5.1,6.3,6.2,High
119,91.8,5.3,44.2,54.7,7.9,2.8,4.3,Medium
120,75.8,4.4,53.8,66.8,6.4,1.0,7.5,Medium
121,68.3,7.4,51.9,46.7,8.4,1.3,5.2,Medium
122,85.2,4.1,44.8,75.0,6.8,6.5,7.7,Medium
123,100.0,1.5,67.7,54.9,8.4,5.7,8.0,Medium
124,68.7,3.3,39.6,99.4,7.6,3.7,8.4,Medium
125,87.0,6.8,45.3,60.6,7.2,4.8,8.4,Low
126,65.9,5.1,98.0,83.1,8.0,4.2,8.0,Low
127,99.6,5.0,85.1,58.0,7.7,5.8,5.0,Medium
128,91.2,3.4,56.7,72.0,9.3,4.8,8.4,Medium
129,69.2,5.0,51.5,62.9,8.0,4.1,9.4,Medium
130,75.6,4.4,85.9,61.6,5.2,6.5,7.3,Medium
131,52.0,4.9,62.3,99.9,6.1,3.2,4.7,Medium
132,65.4,3.4,47.9,55.5,5.1,1.5,3.4,High
133,71.7,3.4,50.8,79.7,6.9,3.4,5.6,Medium
134,97.1,5.3,74.7,30.6,6.2,1.0,5.6,Medium
135,82.5,3.5,75.3,55.6,7.7,1.4,6.0,Medium
136,83.0,5.9,66.2,100.0,6.5,3.4,1.0,Medium
137,99.2,4.1,51.5,93.1,8.5,4.4,3.6,Medium
138,83.0,3.6,51.6,88.7,4.4,5.2,7.4,Medium
139,100.0,5.5,39.2,58.6,7.1,4.8,8.5,Medium
140,54.5,4.1,81.6,96.7,9.2,3.5,8.7,Low
141,98.5,7.2,78.1,85.2,6.1,1.6,8.5,Low
142,73.8,4.7,59.9,65.7,7.3,2.4,6.6,Medium
143,81.0,4.6,57.6,84.6,9.2,3.1,9.0,Low
144,88.7,0.5,57.3,61.8,7.9,4.5,7.4,High
145,85.6,3.0,57.5,52.4,6.8,4.0,6.8,Medium
146,69.3,6.6,80.8,96.7,7.9,4.5,7.8,Low
147,85.3,3.5,86.1,99.5,9.4,4.3,7.1,Low
148,83.0,4.8,76.7,70.1,6.8,7.4,6.8,Medium
149,78.8,6.6,70.1,76.7,6.9,2.0,6.4,Low
150,64.4,5.2,51.5,86.7,7.9,4.7,6.3,Medium
151,83.0,0.9,52.6,69.6,7.4,4.1,4.5,High
152,79.6,3.9,53.0,77.3,6.7,6.4,7.8,Medium
153,86.8,5.4,56.2,57.0,5.2,9.4,4.3,High
154,75.5,4.1,64.1,62.7,4.8,2.4,3.7,High
155,76.5,3.4,58.4,75.5,6.3,5.9,5.7,High
156,80.7,2.1,77.2,65.5,7.5,4.8,6.2,Medium
157,80.6,4.0,86.8,86.9,7.6,2.1,4.3,Medium
158,70.0,4.3,74.3,57.7,8.4,4.2,2.5,High
159,72.3,0.5,57.5,63.2,6.3,3.6,5.7,High
160,70.9,7.8,85.0,53.7,8.5,1.3,4.9,Low
161,96.3,0.5,76.0,51.9,6.8,3.9,9.9,Medium
162,68.3,4.7,76.8,68.0,6.0,4.1,6.7,Medium
163,88.6,2.9,61.7,77.2,6.8,3.9,6.5,Medium
164,69.6,3.2,74.2,54.5,8.4,4.6,3.9,High
165,81.4,5.1,78.7,90.5,6.6,2.9,5.3,Medium
166,66.2,3.3,72.0,72.2,6.4,2.9,7.2,Medium
167,72.0,2.7,65.9,67.8,5.7,5.7,8.2,High
168,78.5,5.1,75.4,71.5,8.1,7.2,6.7,Medium
169,83.3,6.5,63.3,53.9,8.1,1.4,10.0,Low
170,88.4,5.2,68.7,100.0,5.9,2.1,5.3,Low
171,74.9,2.8,70.2,74.2,6.0,7.1,3.7,High
172,62.7,5.6,65.1,78.7,6.3,2.3,5.2,Medium
173,69.8,5.8,61.3,84.2,7.7,6.1,8.3,Medium
174,87.4,6.3,60.8,67.8,4.8,4.7,5.2,Medium
175,82.8,5.9,49.1,55.8,6.6,3.3,6.8,Medium
176,64.1,4.9,44.4,37.5,7.9,1.9,5.4,Medium
177,61.0,2.0,62.4,65.4,8.2,5.0,6.0,High
178,87.1,7.0,73.8,65.5,8.2,7.4,7.8,Low
179,99.2,6.7,79.9,54.6,5.7,4.1,3.2,Medium
180,70.9,6.5,58.7,80.5,5.4,3.3,8.5,Low
181,80.5,5.4,91.9,92.7,5.9,6.6,5.3,Medium
182,77.8,4.8,83.0,53.9,7.5,5.1,8.1,Medium
183,75.5,6.8,58.0,90.4,7.4,1.7,7.3,Low
184,80.2,4.1,57.7,68.2,5.3,7.2,4.2,High
185,70.1,7.1,76.2,83.5,8.8,3.6,4.4,Low
186,88.1,6.4,63.4,51.8,8.5,5.2,3.8,Medium
187,87.4,1.9,61.2,54.0,6.2,2.7,5.3,High
188,86.7,5.4,76.8,89.5,6.6,4.3,7.6,Low
189,98.5,6.6,87.3,88.3,8.3,1.0,8.3,Low
190,80.6,4.9,60.6,65.2,7.5,5.7,3.5,Medium
191,80.6,3.7,54.7,78.3,6.6,3.0,5.0,Medium
192,81.4,4.8,52.7,58.5,6.8,4.9,4.4,Medium
193,83.9,3.2,98.0,56.9,6.1,4.5,4.7,Medium
194,87.9,8.4,62.6,74.8,6.4,4.2,9.4,Low
195,88.7,3.0,89.6,90.6,7.6,3.0,6.6,Medium
196,68.5,5.7,63.6,36.2,8.1,4.5,8.7,Medium
197,76.4,5.2,83.6,78.2,7.3,10.0,6.2,Medium
198,80.0,8.3,56.7,55.3,5.3,5.2,7.8,Low
199,86.9,2.1,82.1,91.2,6.9,4.3,7.9,Medium
200,82.4,6.1,52.8,69.2,5.5,5.3,7.6,Medium
201,76.8,5.4,46.2,85.7,6.4,4.4,8.7,Medium
202,68.9,7.2,69.7,72.5,7.7,2.0,7.7,Low
203,78.7,6.9,65.0,66.2,7.4,4.1,4.2,Medium
204,75.7,7.3,66.7,58.1,7.9,1.0,2.3,Medium
205,78.0,5.2,71.1,57.7,6.8,1.7,6.9,Medium
206,58.6,4.5,71.7,43.9,6.4,5.6,9.6,Medium
207,60.0,5.5,50.7,50.5,8.9,5.4,4.9,High
208,80.6,6.1,70.5,100.0,7.7,1.0,5.9,Low
209,69.2,4.4,68.2,61.6,5.7,6.7,7.7,Medium
210,70.0,6.2,77.5,92.3,5.7,5.6,5.3,Medium
211,91.9,4.4,36.2,72.6,4.9,3.8,6.4,Medium
212,73.2,1.8,52.4,58.5,6.7,6.5,7.9,High
213,72.3,7.3,48.8,83.0,6.8,4.6,7.8,Low
214,69.8,6.4,67.9,100.0,6.6,6.5,7.8,Medium
215,63.9,7.5,53.2,36.3,8.0,6.1,6.6,Medium
216,74.9,8.0,78.0,61.5,7.9,2.0,5.4,Low
217,65.4,0.5,51.5,91.6,5.7,3.2,4.2,High
218,88.4,4.8,74.9,70.3,5.6,2.4,8.2,Low
219,77.3,6.3,25.0,89.8,6.4,8.1,5.5,Medium
220,78.3,6.1,55.7,86.0,6.2,6.5,8.1,Medium
221,83.9,3.4,65.1,76.8,4.6,3.2,8.4,Medium
222,62.8,7.4,59.2,77.2,5.6,5.1,7.4,Medium
223,91.6,7.5,85.5,75.3,5.5,6.6,3.9,Medium
224,72.7,6.3,74.2,97.5,7.0,1.2,5.9,Low
225,80.1,4.1,87.8,68.0,5.3,5.0,4.2,Medium
226,98.4,5.3,48.4,89.3,9.8,1.0,8.3,Low
227,83.8,5.2,72.8,79.9,6.2,6.7,3.8,Medium
228,100.0,7.9,51.4,71.9,8.7,3.3,6.2,Low
229,73.2,7.1,59.5,71.8,7.6,3.8,4.8,Medium
230,61.9,1.8,51.5,44.5,6.1,4.7,6.6,High
231,68.1,2.8,54.1,49.8,5.5,5.5,3.7,High
232,78.2,3.6,98.0,43.2,7.2,3.6,5.0,Medium
233,81.8,5.1,53.0,78.8,7.5,6.6,5.3,Medium
234,95.6,4.4,40.3,80.4,6.9,2.6,8.4,Low
235,72.3,6.8,66.8,84.0,7.8,5.1,4.4,Medium
236,89.0,4.8,96.0,79.7,7.9,2.8,5.7,Low
237,79.2,2.5,51.6,70.3,6.9,4.6,8.7,Medium
238,73.2,6.2,66.0,68.9,7.3,1.0,6.6,Low
239,70.3,2.9,41.6,64.9,4.7,5.8,6.0,High
240,57.8,3.5,78.6,62.5,6.7,3.5,6.2,Medium
241,57.6,4.7,60.2,100.0,6.7,3.4,8.5,Medium
242,76.1,5.3,55.8,96.9,6.2,4.9,8.8,Medium
243,74.3,4.8,76.2,82.9,5.7,4.5,4.6,Medium
244,69.1,3.5,85.0,97.5,10.0,4.1,4.8,Medium
245,66.4,8.0,46.5,66.9,6.3,7.3,4.5,Medium
246,91.2,7.4,65.7,79.4,5.2,4.0,6.1,Low
247,47.0,5.6,73.0,44.9,5.3,2.9,5.4,Medium
248,74.3,2.9,53.9,76.9,6.4,4.0,6.0,High
249,83.5,4.5,80.1,73.6,8.1,6.4,3.6,Medium
250,89.1,8.4,54.4,71.5,6.6,5.0,7.5,Low
251,70.0,7.4,56.0,69.8,8.2,7.7,5.5,Medium
252,87.4,5.2,45.8,56.7,5.6,3.3,5.7,Medium
253,78.3,7.4,73.9,100.0,6.7,5.6,7.3,Low
254,96.1,4.0,79.8,98.1,6.1,4.1,7.5,Low
255,72.8,3.0,93.7,68.3,9.1,3.3,6.1,Medium
256,87.6,4.4,55.4,60.5,7.3,3.0,6.7,Medium
257,50.9,3.7,65.5,63.8,5.8,2.6,6.6,High
258,95.8,2.0,64.1,87.6,7.4,4.0,5.6,Medium
259,78.2,4.6,37.4,60.5,4.7,6.5,8.1,High
260,68.5,6.4,98.0,62.0,8.6,4.9,6.0,Low
261,64.7,3.7,62.5,34.9,7.6,3.6,7.4,Medium
262,73.0,10.8,44.8,57.1,7.8,8.4,4.5,Medium
263,100.0,3.0,86.1,73.2,9.7,7.4,5.2,Medium
264,100.0,2.6,63.6,100.0,6.1,3.0,6.8,Medium
265,83.4,5.6,57.6,75.2,7.8,6.9,7.2,Medium
266,63.0,4.9,59.3,93.1,5.0,5.2,4.4,High
267,93.3,6.3,71.1,80.1,6.6,5.4,6.4,Low
268,86.8,4.9,33.3,63.8,8.8,6.8,6.7,Medium
269,76.5,4.1,76.8,81.3,5.8,5.4,9.0,Medium
270,66.5,4.4,74.5,83.6,6.5,3.2,5.6,Medium
271,82.6,5.7,67.7,50.2,5.7,5.3,4.1,Medium
272,80.7,4.1,59.6,72.4,9.0,4.7,5.9,Medium
273,60.3,5.8,83.9,81.7,8.4,5.1,3.9,Medium
274,77.5,5.8,78.1,64.1,6.9,4.9,9.0,Low
275,90.1,6.1,73.5,55.6,5.7,4.0,8.6,Low
276,82.7,5.9,47.0,48.6,8.3,4.1,3.9,Medium
277,88.6,5.3,98.0,92.0,7.4,3.9,7.0,Low
278,76.8,1.9,81.0,76.4,4.0,3.1,4.8,High
279,89.8,4.7,88.8,46.5,5.7,6.1,5.2,Medium
280,65.3,3.7,57.4,80.6,8.3,1.3,5.9,Medium
281,78.2,5.0,79.7,73.9,6.3,2.2,2.9,Medium
282,73.5,4.8,80.9,66.0,9.8,4.1,5.5,Medium
283,82.6,2.9,70.9,39.0,7.8,4.3,6.9,Medium
284,79.9,2.3,55.4,97.1,7.6,3.1,7.3,Medium
285,82.9,8.7,83.5,78.6,6.5,7.4,6.3,Low
286,67.6,2.4,55.9,66.2,7.9,5.8,8.8,Medium
287,79.8,6.5,98.0,86.6,8.9,1.5,5.0,Low
288,69.0,0.5,69.0,94.3,6.4,4.6,4.8,High
289,72.1,5.4,51.3,90.8,4.7,4.8,5.5,Medium
290,95.9,6.3,38.8,33.2,5.8,3.3,6.1,Medium
291,78.4,6.1,48.9,43.2,7.3,3.6,6.3,Medium
292,70.3,4.5,88.8,46.0,5.5,5.4,9.6,Medium
293,75.5,2.3,40.0,76.2,5.5,8.1,10.0,High
294,80.7,5.8,66.3,90.3,7.0,4.3,9.2,Low
295,85.5,9.1,45.1,63.1,5.9,5.7,5.5,Medium
296,85.2,2.5,66.7,100.0,9.0,1.0,7.2,Low
297,87.9,3.8,52.6,82.6,7.1,5.2,6.2,Medium
298,100.0,3.0,61.1,80.2,7.9,1.7,9.1,Low
299,60.5,4.8,63.7,60.7,8.4,1.0,5.0,Medium
300,67.2,6.5,89.7,84.4,8.7,1.0,6.8,Low
301,61.4,4.1,71.4,73.5,8.7,1.0,4.8,Medium
302,60.2,1.5,82.1,74.9,8.9,6.3,6.6,High
303,66.4,6.8,58.3,52.8,5.6,4.4,9.0,Medium
304,78.6,7.2,69.3,65.2,10.0,7.5,6.9,Low
305,68.0,1.6,73.6,67.9,7.6,4.8,7.4,High
306,91.7,5.4,57.9,59.7,7.7,2.3,7.9,Low
307,86.6,4.7,57.1,43.6,5.7,1.3,6.6,Medium
308,72.7,3.0,80.2,74.1,7.1,5.2,8.6,Medium
309,58.8,6.2,42.7,59.3,8.2,5.4,7.8,Medium
310,80.2,7.6,46.4,67.1,7.1,7.9,8.6,Medium
311,90.5,3.3,98.0,79.5,5.8,8.4,3.6,High
312,67.6,4.3,54.3,80.4,7.3,4.4,10.0,Medium
313,58.4,7.5,56.5,95.4,9.3,8.3,6.1,Medium
314,64.0,5.5,67.3,43.8,7.9,2.5,9.4,Low
315,89.6,4.2,68.5,68.1,6.5,9.8,4.6,High
316,78.7,6.8,62.6,61.9,5.4,6.3,7.9,Medium
317,83.6,1.8,75.1,76.6,6.6,1.7,6.4,Medium
318,67.5,5.0,68.9,66.6,8.1,4.1,7.6,Medium
319,83.0,6.8,54.5,66.5,8.1,4.5,8.8,Low
320,86.9,3.9,80.3,67.9,8.1,7.5,8.7,Medium
321,100.0,1.7,60.3,67.7,6.5,4.9,5.8,High
322,91.3,6.8,73.8,55.8,7.7,5.4,7.2,Low
323,78.4,7.6,60.3,66.1,7.8,5.2,8.2,Low
324,74.6,2.2,50.7,65.1,8.0,5.6,2.9,High
325,84.4,4.6,53.4,100.0,7.3,5.7,10.0,Low
326,71.0,4.0,88.8,51.1,7.1,4.3,8.4,Medium
327,82.9,3.0,81.6,85.5,5.7,3.0,5.4,Medium
328,64.2,6.9,63.5,67.6,5.8,3.5,9.5,Low
329,87.0,1.6,54.1,82.2,6.4,3.2,4.8,High
330,62.0,5.0,62.7,90.2,6.9,2.5,7.9,Medium
331,94.2,3.3,44.2,64.3,5.4,7.2,3.7,High
332,74.1,7.7,80.2,63.8,6.1,3.9,6.0,Low
333,96.0,4.5,49.1,87.8,8.2,3.8,8.0,Low
334,78.6,2.4,66.9,53.7,6.2,2.5,7.2,Medium
335,80.2,2.2,55.1,72.0,7.6,4.3,2.1,High
336,93.4,8.3,90.2,80.7,7.8,3.0,6.9,Low
337,64.4,5.0,48.0,81.4,6.6,5.6,6.9,Medium
338,72.5,6.5,51.6,67.8,6.4,5.5,6.3,Medium
339,81.2,5.9,35.2,57.2,7.1,6.0,7.6,Medium
340,93.7,4.4,69.4,64.0,6.5,2.7,5.4,Medium
341,75.7,3.5,68.4,42.9,7.5,4.5,7.4,Medium
342,72.4,3.8,81.8,69.5,9.4,1.7,6.0,Medium
343,64.5,3.2,56.9,64.3,7.9,2.1,7.7,Medium
344,60.7,4.0,86.5,79.4,7.3,5.3,7.7,Medium
345,85.5,7.6,53.5,70.9,7.8,5.5,7.6,Low
346,93.7,3.8,49.1,92.4,7.0,3.2,6.6,Medium
347,72.8,6.8,80.5,77.0,7.6,4.3,8.6,Low
348,49.6,2.5,67.4,65.4,5.9,5.3,4.5,High
349,80.6,5.0,68.8,58.7,6.8,6.4,7.6,Medium
350,89.6,4.6,44.2,64.5,6.8,6.5,8.8,Medium
351,83.1,3.1,69.8,67.8,6.7,2.0,7.4,Medium
352,77.6,6.4,47.5,54.0,10.0,2.6,7.1,Low
353,83.3,2.8,92.2,71.0,7.2,7.5,4.9,High
354,72.1,4.1,48.8,76.4,7.6,4.5,7.8,Medium
355,88.4,5.5,64.6,91.5,6.2,6.7,6.1,Medium
356,87.2,8.5,36.3,68.9,6.5,7.3,5.7,Medium
357,100.0,1.7,72.9,65.8,7.6,3.2,5.6,Medium
358,56.1,5.0,47.0,51.0,7.1,4.0,8.6,Medium
359,61.8,5.6,72.5,67.2,6.0,4.1,8.3,Medium
360,73.5,6.5,64.2,99.6,7.0,3.9,3.3,Medium
361,60.9,5.6,64.8,76.5,6.2,3.9,5.3,Medium
362,81.5,4.4,94.1,61.0,8.3,2.3,5.6,Medium
363,67.9,7.3,74.1,74.2,7.3,2.2,9.3,Low
364,94.7,4.7,68.2,82.4,6.8,3.8,5.5,Medium
365,73.8,3.8,78.2,66.7,6.5,3.1,3.5,Medium
366,96.7,5.8,80.1,63.5,8.7,4.5,9.4,Low
367,77.8,4.7,60.6,73.2,7.3,6.9,9.6,Medium
368,79.1,7.2,30.0,64.5,7.3,5.8,7.3,Medium
369,77.3,3.9,56.8,100.0,8.3,6.6,6.5,Medium
370,71.6,5.9,67.7,70.0,7.0,3.1,4.8,Medium
371,75.1,2.0,76.4,85.4,6.1,1.0,7.3,Medium
372,80.9,4.8,49.3,41.3,9.1,3.8,7.5,Medium
373,77.2,5.6,50.1,64.9,5.4,2.2,5.1,Medium
374,56.3,3.9,58.0,53.0,6.8,4.2,4.8,High
375,100.0,6.2,83.7,66.7,8.1,5.6,4.5,Medium
376,69.8,10.6,62.2,79.8,6.7,5.7,4.5,Low
377,65.9,7.1,70.8,32.4,7.0,3.9,7.9,Medium
378,81.9,5.5,69.2,76.6,5.6,2.7,4.8,Medium
379,61.9,6.4,83.1,81.8,6.3,3.2,5.6,Medium
380,91.4,5.9,92.3,56.5,6.7,1.9,3.7,Medium
381,76.1,4.1,60.8,47.4,7.2,3.7,8.3,Medium
382,84.6,2.2,73.5,62.4,8.8,4.1,5.5,Medium
383,73.1,1.8,85.8,100.0,4.9,3.7,6.3,Medium
384,70.9,7.2,85.5,68.1,9.5,4.3,6.0,Low
385,81.4,3.3,88.3,81.9,6.6,3.9,4.7,Medium
386,81.2,2.2,68.0,63.7,7.7,6.1,8.1,Medium
387,76.5,3.4,63.8,71.7,7.6,3.2,4.6,Medium
388,80.1,7.5,94.2,84.7,5.8,6.7,4.8,Medium
389,68.8,5.7,48.7,84.8,6.9,4.9,4.9,Medium
390,88.2,5.8,62.9,87.1,4.0,4.9,6.3,Medium
391,68.5,5.2,75.0,60.2,6.9,4.1,7.3,Medium
392,92.7,3.9,86.4,51.1,7.4,1.1,6.6,Low
393,86.7,8.8,68.7,60.0,8.2,4.3,6.7,Low
394,89.0,7.0,43.8,72.8,7.0,2.3,3.3,Medium
395,77.2,3.9,57.9,69.8,6.6,4.2,9.7,Medium
396,77.6,8.6,85.4,87.5,6.1,3.7,4.7,Low
397,83.0,4.7,74.2,76.8,7.2,3.6,4.6,Medium
398,72.7,6.2,65.7,71.0,8.0,5.1,3.6,Medium
399,77.0,3.1,67.2,78.2,7.6,7.2,5.5,High
400,74.5,5.9,81.5,55.5,7.8,5.4,6.2,Medium
401,74.6,6.3,74.0,78.4,6.1,1.1,6.3,Low
402,74.7,5.7,57.3,82.2,7.5,2.9,8.4,Low
403,73.9,3.4,71.5,71.8,5.9,5.3,6.5,Medium
404,68.9,1.3,74.0,73.6,7.1,6.7,1.5,High
405,93.2,7.5,54.3,88.2,6.0,2.3,6.3,Low
406,99.9,5.5,68.7,86.2,6.3,6.9,9.6,Low
407,83.2,3.2,83.0,76.7,7.8,6.2,7.4,Medium
408,67.2,7.8,71.9,77.2,7.7,4.8,8.0,Low
409,80.4,4.4,60.3,63.8,6.7,6.0,5.8,Medium
410,76.7,4.6,75.5,82.4,9.4,1.7,6.0,Low
411,84.9,1.4,92.4,70.1,6.0,5.9,2.1,High
412,80.5,2.8,67.8,78.0,8.0,4.9,10.0,Medium
413,78.7,4.1,85.2,71.0,7.5,1.0,7.4,Low
414,77.1,3.9,58.8,86.5,4.5,9.9,8.8,High
415,82.4,8.6,71.8,57.7,8.2,1.3,7.7,Low
416,92.4,5.9,47.7,75.3,6.9,2.9,1.9,Medium
